1001000100 101010001010 10001 01010	96	ADDI	R10, R17, #-1398
10101010000 00010 000000 00001 00011	100	ORR	R3, R1, R2
1001000100 000011010000 00000 00000	104	ADDI	R0, R0, #208
1001000100 000011111000 00010 00010	108	ADDI	R2, R2, #248
1101000100 101010011110 00111 11111	112	SUBI	R31, R7, #-1378
11001011000 11010 010101 01001 00110	116	SUB	R6, R9, R26
10001010000 11111 111000 00010 01011	120	AND	R11, R2, R31
10001011000 11010 010101 01010 01001	124	ADD	R9, R10, R26
11101010000 00010 100111 00000 01101	128	EOR	R13, R0, R2
110100101 01 0100101001010101 01111	132	MOVZ	R15, 19029, LSL 16
111100101 10 1010101001010101 01010	136	MOVK	R10, 43605, LSL 32
11010011100 00000 101100 00010 10011	140	ASR	R19, R2, R0
11010011010 11010 101111 11111 11111	144	LSR	R31, R31, #47
11010011011 01010 011001 11111 11000	148	LSL	R24, R31, #25
11111000010 000000000 00 00000 00011	152	LDUR	R3, [R0, #0]
11111000000 000000000 00 00010 00110	156	STUR	R6, [R2, #0]
10110100 0000000000000000001 00000	160	CBZ	R0, #1
10110101 0000000000000000001 00111	164	CBNZ	R7, #1
000101 00000000000000000000000001	168	B	#1
1001000100 101010001010 10001 01010	172	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	176	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	180	ADDI	R10, R17, #-1398
000101 00000000000000000000000011	184	B	#3
1001000100 101010001010 10001 01010	188	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	192	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	196	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	200	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	204	ADDI	R10, R17, #-1398
1 11111 10110 11110 11111 11111 100111	208	BREAK	
00000000000000000000000000000001	212	1	
00000000000000000000000000001111	216	15	
00000000000000000000000000000110	220	6	
00000000000000000000000000000010	224	2	
10000000000000000000000000001011	228	-2147483637	
00000000000000000000000000000111	232	7	
00000000000000000000000000000101	236	5	
00000000000000000000000000000100	240	4	
00000000000000000000000000000010	244	2	
00000000000000000000000000000011	248	3	
